date,open,high,low,close,adj close,volume,volume_log,price_change,returns,average_price,price_range,volume_change,price_volume_correlation,returns_volume_correlation,returns_volume_covariance,moving_average_5,moving_average_10,moving_average_20,exponential_moving_average_5,exponential_moving_average_10,exponential_moving_average_20,exponential_moving_average_12,exponential_moving_average_26,macd,macd_signal,macd_histogram
2024-11-11,225.0,225.7,221.5,224.23,223.44,42005600,17.553313524499227,-0.7700000000000102,0.0,224.615,4.199999999999989,0.0,-0.2694722424245847,0.09289247934770782,44763.85323792927,225.35999999999999,227.04899999999998,233.42800000000003,224.23,224.23,224.23,224.23,224.23,0.0,0.0,0.0
2024-11-12,224.55,225.59,223.36,224.23,223.44,40398300,17.514298287591618,-0.3200000000000216,0.0,224.39,2.2299999999999898,-1607300.0,-0.2694722424245847,0.09289247934770782,44763.85323792927,225.35999999999999,227.04899999999998,233.42800000000003,224.23,224.23,224.23,224.23,224.23,0.0,0.0,0.0
2024-11-13,224.01,226.65,222.76,225.12,224.32,48566200,17.698438394256435,1.1100000000000136,0.0039691388306650754,224.565,3.890000000000015,8167900.0,-0.2694722424245847,0.09289247934770782,44763.85323792927,225.35999999999999,227.04899999999998,233.42800000000003,224.6515789473684,224.58777408637872,224.55680266444628,224.5773672055427,224.54976835879745,0.027598846745263472,0.011311002764452242,0.01628784398081123
2024-11-14,225.02,228.87,225.0,228.22,227.41,44923900,17.620480527340796,3.1999999999999886,0.01377043354655294,226.62,3.8700000000000045,-3642300.0,-0.2694722424245847,0.09289247934770782,44763.85323792927,225.35999999999999,227.04899999999998,233.42800000000003,226.13384615384612,225.78443069306928,225.61431109725683,225.7272040229885,225.57580473809796,0.15139928489054455,0.05876638288846725,0.0926329020020773
2024-11-15,226.4,226.92,224.27,225.0,224.2,47923700,17.68512074167731,-1.4000000000000057,-0.014109192884059207,225.7,2.6499999999999773,2999800.0,-0.2694722424245847,0.09289247934770782,44763.85323792927,225.35999999999999,227.04899999999998,233.42800000000003,225.69857819905212,225.55924197564752,225.46571447050437,225.52962528895273,225.44227324436946,0.08735204458326962,0.06726997096997675,0.020082073613292867
2024-11-18,225.25,229.74,225.17,228.02,227.21,44633700,17.613999759450028,2.7700000000000102,0.013422222222222224,226.635,4.570000000000022,-3290000.0,-0.2694722424245847,0.09289247934770782,44763.85323792927,226.118,227.04899999999998,233.42800000000003,226.54685714285716,226.19838583362898,226.00455204409892,226.13491736186387,225.9585713543112,0.1763460075526666,0.09683564139420313,0.07951036615846348
2024-11-19,226.98,230.16,226.66,228.28,227.47,36211800,17.404895618146483,1.3000000000000114,0.0011402508551880963,227.63,3.5,-8421900.0,-0.2694722424245847,0.09289247934770782,44763.85323792927,226.92799999999997,227.04899999999998,233.42800000000003,227.16048567265665,226.69997122727233,226.43478293110363,226.61358504749248,226.37142540497985,0.24215964251263244,0.13361326918571054,0.10854637332692191
2024-11-20,228.06,229.93,225.89,229.0,228.19,35169600,17.375692659489594,0.9399999999999977,0.0031540213772560666,228.53,4.0400000000000205,-1042200.0,-0.2694722424245847,0.09289247934770782,44763.85323792927,227.704,227.04899999999998,233.42800000000003,227.7985535289453,227.22323885753352,226.87819359113948,227.11159306601385,226.7949539039152,0.31663916209865306,0.1775978330553697,0.13904132904328337
2024-11-21,228.88,230.16,225.71,228.52,227.71,42108300,17.555755452613166,-0.3599999999999852,-0.002096069868995576,228.7,4.449999999999989,6938700.0,-0.2694722424245847,0.09289247934770782,44763.85323792927,227.76400000000004,227.04899999999998,233.42800000000003,228.04545824422308,227.50536870292845,227.14154736716264,227.39022608694782,227.0506436051833,0.33958248176452344,0.21501709051717036,0.12456539124735308
2024-11-22,228.06,230.72,228.06,229.87,229.06,38168300,17.457515912334365,1.8100000000000023,0.005907579205321145,228.965,2.6599999999999966,-3940000.0,-0.2694722424245847,0.09289247934770782,44763.85323792927,228.738,227.04899999999998,233.42800000000003,228.6643717363206,228.00207408480847,227.55242869207837,227.86014227972095,227.43968734775217,0.42045493196877715,0.26104709265266024,0.1594078393161169
2024-11-25,231.46,233.25,229.74,232.87,232.05,90152800,18.31701657756908,1.4099999999999966,0.013050854830991332,232.16500000000002,3.509999999999991,51984500.0,-0.2694722424245847,0.09289247934770782,44763.85323792927,229.708,227.913,233.42800000000003,230.08264450396638,228.99653049075584,228.31120796408237,228.77682544633035,228.14400061907423,0.6328248272561154,0.3423899366696864,0.290434890586429
2024-11-26,233.33,235.57,233.33,235.06,234.23,45986200,17.64385193119002,1.7299999999999898,0.00940438871473348,234.195,2.2399999999999807,-44166600.0,-0.2694722424245847,0.09289247934770782,44763.85323792927,231.064,228.996,233.42800000000003,231.75464972645997,230.20800060132208,229.2305834497353,229.89395325519308,228.99374011435344,0.9002131408396394,0.462186966723502,0.4380261741161374
2024-11-27,234.47,235.69,233.81,234.93,234.1,33498400,17.327008264312834,0.46000000000000796,-0.0005530502850336072,234.7,1.8799999999999955,-12487800.0,-0.2694722424245847,0.09289247934770782,44763.85323792927,232.25,229.977,233.42800000000003,232.81856646771297,231.13478388663125,229.97643207005504,230.7684022869039,229.68917188921262,1.0792303976912763,0.5927747946813395,0.48645560300993673
